time	V(adc_out)
4.375556579751735e-04	2.566155e+00
4.473212829751735e-04	2.480383e+00
4.570869079751736e-04	2.366471e+00
4.668525329751736e-04	2.228274e+00
4.766181579751736e-04	2.070457e+00
4.863837829751736e-04	1.898356e+00
4.961494079751736e-04	1.717782e+00
5.059150329751736e-04	1.534842e+00
5.156806579751736e-04	1.355711e+00
5.254462829751736e-04	1.186448e+00
5.352119079751736e-04	1.032768e+00
5.449775329751736e-04	8.998659e-01
5.547431579751736e-04	7.922297e-01
5.645087829751737e-04	7.135001e-01
5.742744079751737e-04	6.663330e-01
5.840400329751737e-04	6.523266e-01
5.894840523237710e-04	6.591340e-01
5.983400110402463e-04	6.923540e-01
6.081056360402464e-04	7.597163e-01
6.178712610402464e-04	8.570841e-01
6.276368860402464e-04	9.811637e-01
6.374025110402464e-04	1.127766e+00
6.471681360402464e-04	1.291934e+00
6.569337610402464e-04	1.468125e+00
6.666993860402464e-04	1.650380e+00
6.764650110402464e-04	1.832546e+00
6.862306360402464e-04	2.008465e+00
6.959962610402464e-04	2.172194e+00
7.057618860402464e-04	2.318200e+00
7.155275110402465e-04	2.441551e+00
7.252931360402465e-04	2.538077e+00
7.350587610402465e-04	2.604519e+00
7.448243860402465e-04	2.638630e+00
7.530711642357049e-04	2.641375e+00
7.599997560119705e-04	2.625141e+00
7.697653810119705e-04	2.574114e+00
7.795310060119705e-04	2.491782e+00
7.892966310119705e-04	2.380931e+00
7.990622560119705e-04	2.245302e+00
8.088278810119705e-04	2.089484e+00
8.185935060119706e-04	1.918736e+00
8.283591310119706e-04	1.738832e+00
8.381247560119706e-04	1.555847e+00
8.478903810119706e-04	1.375968e+00
8.576560060119706e-04	1.205268e+00
8.674216310119706e-04	1.049520e+00
8.771872560119706e-04	9.139827e-01
8.869528810119706e-04	8.032387e-01
8.967185060119706e-04	7.210265e-01
9.064841310119706e-04	6.701278e-01
9.162497560119706e-04	6.522586e-01
9.215117060057302e-04	6.565843e-01
9.295517039918183e-04	6.819630e-01
9.393173289918183e-04	7.424712e-01
9.490829539918183e-04	8.335648e-01
9.588485789918183e-04	9.521700e-01
9.686142039918184e-04	1.094275e+00
9.783798289918183e-04	1.255082e+00
9.881454539918183e-04	1.429155e+00
9.979110789918183e-04	1.610613e+00
1.007676703991818e-03	1.793324e+00
1.017442328991818e-03	1.971117e+00
1.027207953991818e-03	2.137981e+00
1.036973578991818e-03	2.288281e+00
1.046739203991818e-03	2.416936e+00
1.056504828991818e-03	2.519602e+00
1.066270453991818e-03	2.592806e+00
1.076036078991818e-03	2.634079e+00
1.085606634752663e-03	2.642194e+00
1.092034555079201e-03	2.629499e+00
1.101800180079201e-03	2.582786e+00
1.111565805079201e-03	2.504480e+00
1.121331430079201e-03	2.397224e+00
1.131097055079201e-03	2.264644e+00
1.140862680079201e-03	2.111218e+00
1.150628305079201e-03	1.942133e+00
1.160393930079201e-03	1.763099e+00
1.170159555079201e-03	1.580169e+00
1.179925180079201e-03	1.399521e+00
1.189690805079201e-03	1.227261e+00
1.199456430079201e-03	1.069207e+00
1.209222055079201e-03	9.307030e-01
1.218987680079201e-03	8.164257e-01
1.228753305079201e-03	7.302387e-01
1.238518930079201e-03	6.750520e-01
1.248284555079201e-03	6.527326e-01
1.254362213092810e-03	6.558141e-01
1.262099984930226e-03	6.785316e-01
1.271865609930226e-03	7.364762e-01
1.281631234930226e-03	8.252130e-01
1.291396859930226e-03	9.417417e-01
1.301162484930226e-03	1.082127e+00
1.310928109930226e-03	1.241623e+00
1.320693734930226e-03	1.414843e+00
1.330459359930226e-03	1.595931e+00
1.340224984930226e-03	1.778772e+00
1.349990609930226e-03	1.957184e+00
1.359756234930226e-03	2.125142e+00
1.369521859930226e-03	2.276969e+00
1.379287484930226e-03	2.407537e+00
1.389053109930226e-03	2.512431e+00
1.398818734930226e-03	2.588110e+00
1.408584359930226e-03	2.632015e+00
1.418349984930226e-03	2.642665e+00
1.424407467525361e-03	2.632351e+00
1.434173092525361e-03	2.588850e+00
1.443938717525361e-03	2.513549e+00
1.453704342525361e-03	2.408996e+00
1.463469967525361e-03	2.278719e+00
1.473235592525361e-03	2.127125e+00
1.483001217525361e-03	1.959333e+00
1.492766842525361e-03	1.781014e+00
1.502532467525361e-03	1.598193e+00
